,Dates,Open,High,Low,Close,Volume
0,2017-06-30 00:00:00,,134.5,134.5,134.5,0
1,2017-06-29 00:00:00,,134.5,134.5,134.5,0
2,2017-06-28 00:00:00,,134.5,134.5,134.5,0
3,2017-06-27 00:00:00,,134.5,134.5,134.5,0
4,2017-06-26 00:00:00,136.5,136.5,131.0,134.5,127373
5,2017-06-23 00:00:00,,136.5,136.5,136.5,0
6,2017-06-22 00:00:00,142.0,142.25,134.75,136.5,81142
7,2017-06-21 00:00:00,141.5,143.75,138.5,143.75,57418
8,2017-06-20 00:00:00,145.0,145.0,142.0,142.0,21684
9,2017-06-19 00:00:00,147.75,148.0,143.25,144.5,59024
10,2017-06-16 00:00:00,148.0,148.0,143.5,146.0,101488
11,2017-06-15 00:00:00,146.25,154.5,141.0,146.5,100870
12,2017-06-14 00:00:00,211.0,217.0,210.5,213.5,135467
13,2017-06-13 00:00:00,198.0,211.0,198.0,210.5,105179
14,2017-06-12 00:00:00,193.5,198.0,192.0,197.0,54622
15,2017-06-09 00:00:00,194.0,195.0,191.5,193.0,42429
16,2017-06-08 00:00:00,191.5,195.5,189.5,194.0,88077
17,2017-06-07 00:00:00,194.5,195.0,189.5,190.0,265175
18,2017-06-06 00:00:00,,193.5,193.5,193.5,0
19,2017-06-05 00:00:00,192.5,195.5,192.0,193.5,339342
20,2017-06-02 00:00:00,195.0,195.5,193.0,193.5,56811
21,2017-06-01 00:00:00,193.0,195.5,192.0,194.0,27285
22,2017-05-31 00:00:00,194.5,194.5,191.5,193.0,57048
23,2017-05-30 00:00:00,196.5,197.0,193.0,193.0,48049
24,2017-05-29 00:00:00,195.5,197.0,195.5,196.0,63599
25,2017-05-26 00:00:00,194.5,195.5,192.0,194.5,83821
26,2017-05-24 00:00:00,199.0,199.5,194.0,194.5,48182
27,2017-05-23 00:00:00,191.5,199.5,189.5,197.0,95931
28,2017-05-22 00:00:00,184.0,186.0,182.5,184.0,12444
29,2017-05-19 00:00:00,183.5,188.5,183.0,184.0,27904
30,2017-05-18 00:00:00,184.0,184.5,178.5,183.5,161751
31,2017-05-17 00:00:00,187.0,187.0,183.5,185.0,882824
32,2017-05-16 00:00:00,190.0,190.0,185.0,185.5,56744
33,2017-05-15 00:00:00,193.0,193.5,190.0,190.0,25501
34,2017-05-12 00:00:00,195.5,193.5,193.5,193.5,21964
35,2017-05-11 00:00:00,199.0,201.5,195.5,195.5,48100
36,2017-05-10 00:00:00,202.5,202.5,193.0,198.5,55876
37,2017-05-09 00:00:00,215.0,215.5,192.5,203.0,141207
38,2017-05-08 00:00:00,213.5,217.5,211.0,216.0,17654
39,2017-05-05 00:00:00,208.0,214.0,208.0,213.0,20981
40,2017-05-04 00:00:00,209.0,214.0,207.0,212.0,16715
41,2017-05-03 00:00:00,209.5,210.0,205.0,209.0,28557
42,2017-05-02 00:00:00,204.0,209.5,204.0,209.0,38258
43,2017-05-01 00:00:00,,203.0,203.0,203.0,0
